id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task
206,2017-05-03 07:18:50.394485+00:00,"[4, 3, 2, 1]",3,1,45,39,84,4,4,8,"[15, 16, 17, 19]","[15, 17, 18, 20]","id: 232, experienced: True, age: 22","id: 3, title: Building geometry and metadata"
450,2017-05-04 11:28:11.745690+00:00,"[4, 1, 3, 2]",3,2,54,33,87,4,5,9,"[10, 11, 12, 14]","[9, 10, 12, 13, 14]","id: 418, experienced: False, age: 32","id: 3, title: Building geometry and metadata"
399,2017-05-03 21:16:52.667950+00:00,"[4, 2, 1, 3]",3,3,53,35,88,4,4,8,"[2, 3, 4, 6]","[1, 2, 4, 5]","id: 374, experienced: True, age: 24","id: 3, title: Building geometry and metadata"
747,2017-05-08 06:29:49.985667+00:00,"[4, 1, 2, 3]",3,3,52,37,89,4,4,8,"[15, 17, 18, 19]","[15, 17, 18, 20]","id: 570, experienced: True, age: 35","id: 3, title: Building geometry and metadata"
804,2017-05-08 22:07:38.431468+00:00,"[4, 1, 3, 2]",3,2,42,49,91,3,5,8,"[11, 12, 14]","[9, 10, 11, 12, 13]","id: 596, experienced: True, age: 33","id: 3, title: Building geometry and metadata"
194,2017-05-02 11:23:09.594181+00:00,"[4, 1, 2, 3]",3,3,46,46,92,4,5,9,"[15, 16, 17, 19]","[15, 17, 18, 19, 20]","id: 226, experienced: False, age: 24","id: 3, title: Building geometry and metadata"
181,2017-05-02 10:28:53.756582+00:00,"[4, 1, 3, 2]",3,2,47,46,93,4,6,10,"[10, 11, 12, 14]","[9, 10, 11, 12, 13, 14]","id: 221, experienced: True, age: 23","id: 3, title: Building geometry and metadata"
784,2017-05-08 11:50:50.450618+00:00,"[4, 1, 3, 2]",3,2,70,25,95,2,5,7,"[2, 6]","[1, 2, 3, 4, 5]","id: 575, experienced: False, age: 21","id: 3, title: Building geometry and metadata"
553,2017-05-05 09:56:27.882450+00:00,"[4, 3, 1, 2]",3,1,51,47,98,5,4,9,"[1, 3, 4, 5, 6]","[1, 2, 3, 4]","id: 471, experienced: True, age: 42","id: 3, title: Building geometry and metadata"
241,2017-05-03 09:56:28.072765+00:00,"[4, 2, 3, 1]",3,2,67,33,100,4,6,10,"[10, 11, 12, 14]","[9, 10, 11, 12, 13, 14]","id: 248, experienced: False, age: 24","id: 3, title: Building geometry and metadata"
524,2017-05-05 07:34:48.459047+00:00,"[4, 3, 1, 2]",3,1,37,63,100,5,3,8,"[9, 10, 11, 12, 13]","[9, 13, 14]","id: 459, experienced: True, age: 51","id: 3, title: Building geometry and metadata"
680,2017-05-06 08:15:22.645484+00:00,"[4, 1, 2, 3]",3,3,58,43,101,3,5,8,"[10, 12, 14]","[9, 10, 11, 12, 14]","id: 543, experienced: False, age: 21","id: 3, title: Building geometry and metadata"
159,2017-05-02 09:15:20.465753+00:00,"[4, 1, 3, 2]",3,2,67,36,103,4,6,10,"[10, 11, 12, 14]","[9, 10, 11, 12, 13, 14]","id: 208, experienced: True, age: 25","id: 3, title: Building geometry and metadata"
284,2017-05-03 12:58:13.210886+00:00,"[4, 1, 3, 2]",3,2,59,44,103,6,5,11,"[15, 16, 17, 18, 19, 20]","[15, 17, 18, 19, 20]","id: 275, experienced: True, age: 24","id: 3, title: Building geometry and metadata"
769,2017-05-08 10:18:52.063633+00:00,"[4, 2, 1, 3]",3,3,73,32,105,5,5,10,"[2, 3, 4, 5, 6]","[1, 2, 3, 5, 6]","id: 586, experienced: False, age: 20","id: 3, title: Building geometry and metadata"
765,2017-05-08 09:27:40.209411+00:00,"[4, 1, 2, 3]",3,3,64,43,107,5,4,9,"[2, 3, 4, 5, 6]","[1, 3, 5, 6]","id: 584, experienced: False, age: 21","id: 3, title: Building geometry and metadata"
426,2017-05-04 07:48:20.980368+00:00,"[4, 1, 3, 2]",3,2,59,48,107,5,4,9,"[9, 10, 11, 12, 14]","[9, 10, 13, 14]","id: 409, experienced: False, age: 34","id: 3, title: Building geometry and metadata"
633,2017-05-05 13:15:17.494697+00:00,"[4, 3, 2, 1]",3,1,43,64,107,4,3,7,"[2, 4, 5, 6]","[1, 3, 4]","id: 516, experienced: False, age: 45","id: 3, title: Building geometry and metadata"
377,2017-05-03 19:53:17.985065+00:00,"[4, 1, 2, 3]",3,3,81,26,107,4,6,10,"[10, 11, 12, 14]","[9, 10, 11, 12, 13, 14]","id: 368, experienced: True, age: 26","id: 3, title: Building geometry and metadata"
639,2017-05-05 13:38:21.116628+00:00,"[4, 2, 1, 3]",3,3,64,46,110,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 489, experienced: False, age: 24","id: 3, title: Building geometry and metadata"
564,2017-05-05 10:17:36.521491+00:00,"[4, 1, 2, 3]",3,3,75,36,111,6,6,12,"[9, 10, 11, 12, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 473, experienced: True, age: 24","id: 3, title: Building geometry and metadata"
350,2017-05-03 18:34:47.689346+00:00,"[4, 3, 2, 1]",3,1,46,66,112,6,4,10,"[15, 16, 17, 18, 19, 20]","[15, 16, 18, 20]","id: 350, experienced: True, age: 34","id: 3, title: Building geometry and metadata"
684,2017-05-06 10:08:23.480958+00:00,"[4, 1, 2, 3]",3,3,89,25,114,4,6,10,"[10, 11, 12, 14]","[9, 10, 11, 12, 13, 14]","id: 547, experienced: True, age: 24","id: 3, title: Building geometry and metadata"
381,2017-05-03 20:16:49.255207+00:00,"[4, 1, 3, 2]",3,2,69,46,115,5,4,9,"[9, 10, 11, 12, 14]","[9, 10, 13, 14]","id: 373, experienced: True, age: 36","id: 3, title: Building geometry and metadata"
653,2017-05-05 15:29:44.034944+00:00,"[4, 2, 1, 3]",3,3,70,46,116,5,6,11,"[15, 16, 17, 19, 20]","[15, 16, 17, 18, 19, 20]","id: 531, experienced: False, age: 22","id: 3, title: Building geometry and metadata"
